"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-02-01,13,700,26.35,52.5,2.9,0
2016-02-01,14,785.5,26.75,49.5,3.55,0
2016-02-01,15,623,26.45,51,4.25,0
2016-02-01,16,374.5,24.9,57,4.7,0
2016-02-01,17,135,22.95,62.5,4.7,0
2016-02-01,18,11,21.2,70,4.25,0
2016-02-01,19,0,20.7,74,2.45,0
2016-02-01,20,0,20.5,75.5,0.65,0
2016-02-01,21,0,19.95,78.5,0.2,0
2016-02-01,22,0,18.95,82.5,0,0
2016-02-01,23,0,18.25,84.5,0.2,0
2016-02-02,0,0,17.6,86,0.4,0
2016-02-02,1,0,16.75,89,0.2,0
2016-02-02,2,0,16,91.5,0.2,0
2016-02-02,3,0,16,92.5,0,0
2016-02-02,4,0,15.1,93.5,0.2,0
2016-02-02,5,0,14.95,92,0,0
2016-02-02,6,4,14.75,92.5,0,0
2016-02-02,7,114.5,16.4,90.5,0,0
2016-02-02,8,349,19.4,80,0.65,0
2016-02-02,9,583,22.25,69.5,0.65,0
2016-02-02,10,648.5,23.5,64.5,1.55,0
2016-02-02,11,879.5,25.85,55.5,1.55,0
2016-02-02,12,949,27.35,48.5,2,0
2016-02-02,13,888.5,27.7,44,2.2,0
2016-02-02,14,780.5,27.6,47.5,4.25,0
2016-02-02,15,594,27.05,48.5,4.25,0
2016-02-02,16,389,25.25,54,5.4,0
2016-02-02,17,146,23,61.5,5.85,0
2016-02-02,18,14,21.5,66.5,5.15,0
2016-02-02,19,0,20.7,71,3.1,0
2016-02-02,20,0,20.65,73,1.55,0
2016-02-02,21,0,20.2,78,0.85,0
2016-02-02,22,0,19.8,80,0.2,0
2016-02-02,23,0,19.6,79.5,0,0
2016-02-03,0,0,19,83,0,0
2016-02-03,1,0,19.05,86,0,0
2016-02-03,2,0,18.75,88,0,0
2016-02-03,3,0,18.35,91,0,0
2016-02-03,4,0,17.95,92,0,0
2016-02-03,5,0,17.35,92.5,0.2,0
2016-02-03,6,3.5,17.05,93.5,0.4,0
2016-02-03,7,80.5,17.85,94,0,0
2016-02-03,8,308.5,20.4,84.5,0.4,0
2016-02-03,9,461.5,22.65,76.5,0.9,0
2016-02-03,10,569,23.7,68.5,1.1,0
2016-02-03,11,594.5,25.45,57.5,1.1,0
2016-02-03,12,711.5,27.35,50.5,1.3,0
2016-02-03,13,421.5,27,50.5,2.9,0
2016-02-03,14,720,27.9,48,4.25,0
2016-02-03,15,611.5,27.2,52,4.9,0
2016-02-03,16,385,25.65,56.5,5.15,0
2016-02-03,17,144,23.75,61.5,4.7,0
2016-02-03,18,10,21.95,70.5,2.45,0
2016-02-03,19,0,21.05,74,1.55,0
2016-02-03,20,0,20,77,0.65,0
2016-02-03,21,0,18.75,82,0,0
2016-02-03,22,0,18.65,81.5,0,0
