SLB;SLLL;SDUL;SSAT;SRGF;SBDM;SLOC;SLCL;SLSI;SLNI;SLHW  
5;0.228;0.385;0.481;1;1.3;1.75;50;45;0.17;6.5
10;0.228;0.385;0.481;1;1.3;1.75;50;45;0.17;6.5
15;0.228;0.385;0.481;1;1.3;1.75;50;45;0.17;6.5
20;0.228;0.385;0.481;1;1.3;1.75;50;45;0.17;6.5
25;0.228;0.385;0.481;1;1.3;1.75;50;45;0.17;6.5
30;0.249;0.406;0.482;0.638;1.3;1.6;50;45;0.17;6.5
